Query,Tab Complete,Regex Matches,Exact and Fuzzy Matches,Total Matches,Combined Search Time (ms),Merging Time (ms),Total Runtime (ms),,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15
Th Godfathr,,0,15,15,98.814167,0.045918,98.920577,,The Godfather: Part II,The Godfather: Part III,The Godfather,Tokyo Godfathers,Godfather,The Goddess,The Goddess,Profound Desires of the Gods,The Food of the Gods,The Gods Must Be Crazy,The Godsend,The Gods Must Be Crazy II,The God of Cookery,The Goddess of 1967,The Goddess
Frest Gump,,0,15,15,102.099273,0.016169,102.165362,,Forrest Gump,Fresh Guacamole,Fresh Bait,Forest Warrior,Forest Warrior,Jack Frost 2: Revenge of the Mutant Killer Snowman,Jack Frost 2: Revenge of the Mutant Killer Snowman,The Forest for the Trees,Funky Forest: The First Contact,7 Dwarves: The Forest Is Not Enough,Frost/Nixon,Olympia Part One: Festival of the Nations,Olympia Part Two: Festival of Beauty,Frosty,Days and Nights in the Forest
Star Warz,,0,15,15,97.34105,0.024766,97.418932,,Star Wars: The Clone Wars,Robot Chicken: Star Wars,Star Wars: Episode IV - A New Hope,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Empire of Dreams: The Story of the 'Star Wars' Trilogy,Star Maps,Star!,Star,Star 80,Star Runner,Star Trek
The Shawshank Redmptin,,0,15,15,93.571594,0.015162,93.653044,,The Shawshank Redemption,The Shawshank Redemption,In the Shadow of the Moon,The Shaggy Dog,The Shaolin Temple,The Shaggy Dog,The Shadow,The Shaman,The Shape of Things,As the Shadow,In the Shadow,In the Shadow,Standing in the Shadows of Motown,Val Lewton: The Man in the Shadows,Val Lewton: The Man in the Shadows
Pul Fictionn,,0,15,15,94.896507,0.014533,94.982787,,Pulp Fiction,Pull My Daisy,Pull My Daisy,"Pulp: a Film About Life, Death & Supermarkets",Harry Dean Stanton: Partly Fiction,Samurai Fiction,Real Fiction,Science Fiction,Pulse,Pulse,Pulse,Pulsar,Stranger Than Fiction,The Perils of Pauline,The Public Enemy
Th Lord of the Rings: The Fllowship of the Rng,,0,15,15,117.786654,0.023828,117.874146,,The Lord of the Rings,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,Ringers: Lord of the Fans,Lord of the Flies,Edges of the Lord,"Greystoke: The Legend of Tarzan, Lord of the Apes",Phantasm III: Lord of the Dead,At Play in the Fields of the Lord,The Postman Always Rings Twice,The Lords of Salem,Lord of Illusions,Lord of War,Lord of Darkness
The Dark Kngt,,0,15,15,118.797149,0.039544,118.907672,,The Dark Knight,The Dark,The Dark,The Dark Knight Rises,The Dark Angel,The Dark Crystal,The Dark Backward,The Dark Half,The Dark Backward,The Dark Diamond,The Dark Diamond,The Dark Hours,The Dark House,The Dark Horse,After the Dark
Fite Club,,0,15,15,99.100774,0.03018,99.201017,,Fight Club,Club Paradise,Club Sandwich,The Club,Typhoon Club,Typhoon Club,Suicide Club,Gourmet Club,Suicide Club,Geography Club,Geography Club,The Club,The Cotton Club,The Cemetery Club,The Boys Club
Inceptiion,,0,9,9,153.843719,0.014456,153.907031,,Inception,The Inextinguishable Fire,Investigation of a Citizen Above Suspicion,The Best Intentions,Cruel Intentions,The Invention of Lying,The Investigator,Incendies,El vals de los inètiles,,,,,,
The Lyan King,,0,15,15,98.747222,0.017309,98.815773,,The Lion King,The Last King of Scotland,The King,The King,The King,The Giant King,The Line King: The Al Hirschfeld Story,The Lion King 2: Simba's Pride,The Lion King 1 1/2,The Lion King 1 1/2,The Monkey King,The Fisher King,The Foul King,The Scorpion King,The Foul King
Harry Potter and the Philosphr's Ston,,0,15,15,94.241166,0.012901,94.305555,,Harry Potter and the Sorcerer's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 2,Harry and the Hendersons,Harry and Tonto,Tom Dick and Harry,Dumb and Dumberer: When Harry Met Lloyd,Harry & Son,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)
The Avngers,,0,15,15,102.136291,0.012575,102.196388,,The Avengers,The Avengers,The Angels' Share,Mother Joan of the Angels,The Bonfire of the Vanities,The Vanishing,The Van,The Animal,The Animatrix,The Aviator,The Angel,The Aviators,The Anomaly,The Ball at the Anjo House,The Vanishing Prairie
Avatarr,,0,1,1,113.225291,0.009428000001,113.285809,,Avatar,,,,,,,,,,,,,,
Th Terminato,,0,15,15,146.706691,0.013432,146.769119,,The Terminator,The Terminal,The Terminal,Terminator 3: Rise of the Machines,Prison Terminal: The Last Days of Private Jack Hall,Terminator 2: Judgment Day,Terminator Salvation,Terminator Genisys,Quarantine 2: Terminal,Coming to Terms,From the Terrace,Indiana Jones and the Temple of Doom,The Terrorizers,Hètel Terminus,The Temp
The Silenc of the Lambs,,0,15,15,241.061176,0.022109,241.17517,,The Silence of the Lambs,The Silences of the Palace,The Silences of the Palace,The Silence of Lorna,Breaking the Silence: Truth and Lies in the War on Terror,The Silence Before Bach,The Silence,The Silencers,The Silence,The Silence,Year Zero: The Silent Death of Cambodia,Lions for Lambs,Salla: Selling the Silence,The Look of Silence,Alexander Graham Bell: The Sound and the Silence
Gladiatoor,,0,4,4,186.666511,0.012088,186.759901,,Gladiator,The Graduate,Graduation,Ghost Graduation,,,,,,,,,,,
The Prestiige,,0,15,15,155.897438,0.085443,156.036517,,The Prestige,The President,All the President's Men,The President's Last Bang,The Kidnapping of the President,The Hunting of the President,My Date with the President's Daughter,My Date with the President's Daughter,The Prefab People,The Preacher's Wife,The Preacher's Daughter,The Pretty One,The Preacher,The Preacher,The Presence
Interstellarr,,0,15,15,213.239204,0.013859,213.298668,,Interstate 60: Episodes of the Road,Interstellar,Intersection,Interrupted Melody,Inherit the Wind,The Inheritance,Investigation of a Citizen Above Suspicion,The Inheritance,Interiors,Interrogation,Born in East L.A.,Innerspace,Intervista,Interdevochka,The Best Intentions
Goodfllas,,0,11,11,98.945072,0.020642,99.010326,,Goodfellas,In the Good Old Summertime,The Good Old Boys,A Good Lawyer's Wife,"Good Night, and Good Luck.",Good Luck Chuck,The Good Life,Good Ol' Boy,The Good Life,Good Ol' Freda,The Good Lie,,,,
The Grene Mile,,0,15,15,103.319548,0.030254,103.413643,,The Green Mile,The Jericho Mile,Beneath the 12-Mile Reef,Twelve Mile Road,Miracle Mile,Moonlight Mile,8 Mile,American Pie Presents The Naked Mile,One Mile Away,The Green Pastures,The Green Years,The Green Berets,The Green Wall,The Green Room,The Green Butchers
The Departedd,,0,15,15,98.745726,0.015335,98.812106,,The Departed,The Departure,The Depraved,The Dependent,The Deposit,The Deserted Station,"The World, the Flesh and the Devil",The Naked and the Dead,The Desert of the Tartars,The Quick and the Dead,The Living and the Dead,The Roses of the Desert,The House of the Devil,The Famous and the Dead,The Dead and the Living
Schindler's Lits,,0,15,15,99.749663,0.017907,99.839342,,Schindler's List,The Poor Little Rich Girl,Little Caesar,Three Little Pigs,Little Miss Marker,The Little Foxes,Little Women,Father's Little Dividend,The Little World of Don Camillo,"Come Back, Little Sheba",Little Boy Lost,The Little Kidnappers,God's Little Acre,The Little Apartment,David and Lisa
The Shininng,,0,15,15,95.121052,0.009827999998,95.180016,,The Shining,The Shipping News,And the Ship Sails On,Last Images of the Shipwreck,The Fox & the Child,The Fox & the Child,The Son of the Sheik,The Siege of the Alcazar,The Shop Around the Corner,The Prince and the Showgirl,The Taming of the Shrew,The Red and the White,The Shoes of the Fisherman,The Silence of the Lambs,The House of the Spirits
Bravehaart,,0,15,15,93.790977,0.021423,93.859735,,Braveheart,Home of the Brave,The Brave One,The Bravados,Lonely Are the Brave,Michael the Brave,The Brave,The Brave Little Toaster Goes to Mars,Michael the Brave,Battle of the Brave,Home of the Brave,The Brave One,Home of the Brave,Brave Story,Brave
The Sixth Sensee,,0,15,15,98.151089,0.008951000002,98.227339,,The Sixth Sense,The Inn of the Sixth Happiness,The Sixties,The Six Million Dollar Man,The Sitter,The Sisterhood of the Traveling Pants,Star Wars: Episode III - Revenge of the Sith,The Sisterhood of the Traveling Pants 2,The Five Senses,The Sisterhood of Night,The Sensation of Sight,The Siege of the Alcazar,The Silence of the Lambs,The Silences of the Palace,The Silences of the Palace
The Usual Suspects,The Usual Suspects,1,14,15,95.094655,0.013258,95.19456,,The Usual Suspects,Business as Usual,The Suspect,The Suspect,The Suspect,Prime Suspect: The Lost Child,Prime Suspect 6: The Last Witness,Prime Suspect 7: The Final Act,Prime Suspect: Inner Circles,Prime Suspect 5: Errors of Judgement,Suspect X,Prime Suspect 2,Prime Suspect 3,The Suspended Step of the Stork,The Subject Was Roses
The Godfather: Part II,The Godfather: Part II,2,13,15,97.520961,0.026091,97.61119,,The Godfather: Part II,The Godfather: Part III,The Godfather,The Hangover Part II,The Toxic Avenger Part II,"The Karate Kid, Part II",The Last Exorcism Part II,Hostel: Part II,Gasland Part II,"That's Entertainment, Part II",Back to the Future Part II,Father of the Bride Part II,Godfather,Rambo: First Blood Part II,The Gods Must Be Crazy II
Savng Private Ryan,,0,15,15,109.708112,0.01741,109.798179,,Saving Private Ryan,Ryan,Jackie & Ryan,Private,Jack Ryan: Shadow Recruit,Private Benjamin,Private Confessions,Private Parts,Private Lessons,Private Eye,Private Romeo,A Private Function,Vares: Private Eye,"Private Vices, Public Pleasures",My Own Private Idaho
Back to the Futuree,,0,15,15,94.551653,0.020625,94.631286,,Back to the Future,Back to the Future Part II,Back to the Future Part III,Back to School,Back to Stay,Back to the USSR - takaisin Ryssiin,T-Rex: Back to the Cretaceous,Fight Back to School,Tremors 3: Back to Perfection,Before Flying Back to Earth,Before Flying Back to Earth,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",A Mother's Courage: Talking Back to Autism,A Mother's Courage: Talking Back to Autism,Yes or No: Come Back to Me
The Trumman Show,,0,15,15,103.03098,0.022025,103.103026,,The Truman Show,The T.A.M.I. Show,The Late Show,The Horror Show,The Jimmy Show,The Last Picture Show,The Rocky Horror Picture Show,Quiz Show,Hair Show,There's No Business Like Show Business,Best in Show,Village People Radio Show,Claymation Comedy of Horrors Show,"The Missing Piece: Mona Lisa, Her Thief, the True Story",The Trumpet of the Swan
The Social Netwrok,,0,15,15,98.642232,0.035442,98.729415,,The Social Network,#chicagoGirl: The Social Network Takes on a Dictator,The Cheyenne Social Club,Social Genocide,Buena Vista Social Club,A Very Social Secretary,The Scalphunters,Socialphobia,The Sicilian Clan,The Sicilian Girl,The Source: The Story of the Beats and the Beat Generation,"Jimmy Rosenberg: The Father, the Son & the Talent",The Son of the Sheik,The Sorrow and the Pity,The Day of the Locust
Thh Mattrix,,0,15,15,99.041505,0.010873,99.10549,,The Matrix,The Matrix Reloaded,The Matrix Revolutions,The Mattei Affair,The Matrimony,The Matriarch,George Harrison: Living in the Material World,The Mating of Millie,The Mating Season,The Matchmaker,The Mating Game,The Match Factory Girl,Beyond the Mat,The Matthew Shepard Story,The Matador
Jurassic Parc,,0,15,15,106.178114,0.020914,106.271252,,Jurassic Park,Jurassic Park III,Jurassic Park III,Jurassic World,The Lost World: Jurassic Park,A Woman of Paris: A Drama of Fate,Trouble in Paradise,Footlight Parade,Folies Bergère de Paris,Olympia Part One: Festival of the Nations,Olympia Part Two: Festival of Beauty,The Rage of Paris,Across the Pacific,Children of Paradise,Easter Parade
Titannicc,,0,12,12,99.79264,0.019375,99.861684,,Raise the Titanic,Titanica,Titanic,Titanic,Titanic Town,The Chambermaid on the Titanic,The Ten Lives of Titanic the Cat,Clash of the Titans,Titan A.E.,Remember the Titans,Clash of the Titans,Wrath of the Titans,,,
The Godfaather,,0,15,15,115.790378,0.0419,115.905166,,The Godfather,The Godfather: Part II,The Godfather: Part III,The Goddess,The Goddess,The Godsend,The Goddess,The Goddess of 1967,As the Gods Will,The Food of the Gods,The God of Cookery,The Gods Must Be Crazy,The Gods Must Be Crazy II,Hammer of the Gods,Stargate SG-1: Children of the Gods - Final Cut
Forrestt Gump,,0,15,15,139.400894,0.020888,139.493015,,Forrest Gump,Finding Forrester,Days and Nights in the Forest,Gumshoe,The Emerald Forest,Legend of the Forest,Grumpy Old Men,Once Upon a Forest,Grumpier Old Men,Forest Warrior,Forest Warrior,Gupt: The Hidden Truth,Gummo,The Forest,Gumnaam
Starr Wars,,0,15,15,114.717654,0.021332,114.801599,,Star Wars: The Clone Wars,Sars Wars,Sars Wars,Robot Chicken: Star Wars,Star Wars: Episode IV - A New Hope,Star Wars: Episode I - The Phantom Menace,Style Wars,Bride Wars,Summer Wars,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Many Wars Ago,The Ninja Wars
The Shwshank Redemption,,0,15,15,109.504049,0.022052,109.573527,,The Shawshank Redemption,The Shawshank Redemption,The Raid: Redemption,Redemption,Redemption Trail,Redemption: The Stan Tookie Williams Story,The Redemption of General Butt Naked,Road to Redemption,Undisputed 3: Redemption,20th Century Boys 3: Redemption,"The Butcher, the Chef, and the Swordsman",The Son of the Sheik,The Shop Around the Corner,The Prince and the Showgirl,The Taming of the Shrew
Pulpp Fiction,,0,15,15,94.736084,0.016516,94.823041,,Pulp Fiction,Samurai Fiction,Real Fiction,Science Fiction,Stranger Than Fiction,Harry Dean Stanton: Partly Fiction,"Pulp: a Film About Life, Death & Supermarkets",Puppetmaster,Puppet Master II,The Puppetmaster,The Puppet Masters,Marley & Me: The Puppy Years,Being Elmo: A Puppeteer's Journey,"Totè, Peppino e i fuorilegge",Pull My Daisy
The Lrd of the Rngs: The Felloship of the Ring,,0,15,15,94.10002,0.017383,94.165702,,The Lord of the Rings: The Fellowship of the Ring,Curse of the Ring,The Lord of the Rings: The Return of the King,The Ring,The Lord of the Rings,The Lord of the Rings: The Two Towers,The Ring Two,The Ring Finger,Ring of Fire,Closing the Ring,Ringers: Lord of the Fans,The Bling Ring,The Bling Ring,Ring of Bright Water,A Ring of Endless Light
The Drak Knight,,0,15,15,92.445059,0.021463,92.53266,,The Dark Knight,The Dark Knight Rises,"Batman: The Dark Knight Returns, Part 2","Batman: The Dark Knight Returns, Part 1",Arn: The Knight Templar,Knight Moves,Knight and Day,Tales from the Crypt: Demon Knight,Black Knight,Knight of Cups,Batman: Gotham Knight,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,The Draughtsman's Contract,When the Dragon Swallowed the Sun
Fightt Club,,0,15,15,92.831288,0.034914,92.932763,,Fight Club,Club Paradise,Club Sandwich,The Club,Typhoon Club,Typhoon Club,Suicide Club,Gourmet Club,Suicide Club,Geography Club,Geography Club,The Club,The Cotton Club,The Cemetery Club,The Boys Club
Incption,,0,1,1,150.093743,0.009278,150.166961,,Inception,,,,,,,,,,,,,,
The Lionn King,,0,15,15,145.602904,0.017974,145.668282,,The Lion King,The Lion King 2: Simba's Pride,The Lion King 1 1/2,The Lion King 1 1/2,The King,The King,The King,The Line King: The Al Hirschfeld Story,The Monkey King,The Fisher King,The Foul King,The Scorpion King,The Foul King,The Monkey King,The Giant King
Harry Pottter and the Philospher's Stone,,0,15,15,214.343344,0.017365,214.429615,,Harry Potter and the Sorcerer's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 2,Harry and the Hendersons,Harry and Tonto,Tom Dick and Harry,The Stone Angel,Dumb and Dumberer: When Harry Met Lloyd,The Stone Roses: Made of Stone,The Stone Boy
The Avengerz,,0,15,15,201.129181,0.011135,201.184355,,The Avengers,The Avengers,The Toxic Avenger Part II,The Toxic Avenger Part III: The Last Temptation of Toxie,Citizen Toxie: The Toxic Avenger IV,Captain America: The First Avenger,Avengers: Age of Ultron,Avengers Confidential: Black Widow & Punisher,Ultimate Avengers II,Ultimate Avengers,The Age of the Earth,The Overcoat,The Verdict,The Event,The Aviator
Avataar,,0,1,1,94.807932,0.011966,94.866287,,Avatar,,,,,,,,,,,,,,
The Termnator,,0,15,15,104.933995,0.016797,105.018334,,The Terminator,The Terminal,The Terminal,The Terror Live,The Terrorizers,The Terrorist,From the Terrace,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",The More the Merrier,The Transformers: The Movie,"The Tree, the Mayor and the Mediatheque",The Desert of the Tartars,The Serpent and the Rainbow,The Trumpet of the Swan,The Forest for the Trees
The Siilence of the Lambs,,0,15,15,190.889634,0.011147,190.975854,,The Silence of the Lambs,Lions for Lambs,The Silences of the Palace,The Silences of the Palace,The Silence of Lorna,The Science of Sleep,The Siege of the Alcazar,The Last of the Finest,The House of the Spirits,The Sinking of the Laconia,Last Images of the Shipwreck,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Power of Nightmares: The Rise of the Politics of Fear,The Inn of the Sixth Happiness
Gladiato,Gladiator,1,3,4,91.177523,0.008430000002,91.233991,,Gladiator,The Graduate,Graduation,Ghost Graduation,,,,,,,,,,,
The Prstige,,0,15,15,151.266993,0.017303,151.330627,,The Prestige,The Princess & the Marine,The Prince and the Pauper,The Pride of the Yankees,The Proud and the Beautiful,The Pride and the Passion,The Prince and the Showgirl,The Tiger and the Pussycat,The Owl and the Pussycat,The Kidnapping of the President,The Prophecy 3: The Ascent,The Princess and the Warrior,The Passion of the Christ,The Hunting of the President,The Princess and the Frog
Interstella,Interstellar,1,14,15,92.518942,0.023323,92.599522,,Interstellar,Interstate 60: Episodes of the Road,Intersection,Interrupted Melody,Inherit the Wind,The Inheritance,Investigation of a Citizen Above Suspicion,The Inheritance,Interiors,Interrogation,Born in East L.A.,Innerspace,Intervista,Interdevochka,The Best Intentions
Goodfellas,Goodfellas,1,14,15,93.153271,0.017332,93.250181,,Goodfellas,The Good Earth,In the Good Old Summertime,"Good Evening, Mr. Wallenberg","Good Evening, Mr. Wallenberg",The Good Old Boys,A Good Lawyer's Wife,"Good Night, and Good Luck.",Good Luck Chuck,The Good Life,Good Ol' Boy,The Good Life,My Good Enemy,Good Ol' Freda,The Good Lie
The Green Mil,The Green Mile,1,14,15,155.116213,0.038954,155.230344,,The Green Mile,The Green,The Green Pastures,The Green Years,The Green Berets,The Green Wall,The Green Room,The Green Butchers,The Green Hornet,The Green Prince,The Green Inferno,Where the Green Ants Dream,The Capture of the Green River Killer,The Capture of the Green River Killer,The Scent of Green Papaya
The Depart,The Departure,2,13,15,152.773716,0.018098,152.836313,,The Departure,The Departed,Mountains May Depart,The Depraved,The Dependent,The Deposit,Traffic Department,Departures,The Desert of the Tartars,The Roses of the Desert,The Deathmaker,The Desert Rats,The Deserted Station,"The Adventures of Priscilla, Queen of the Desert",Sons of the Desert
Schindlers List,,0,15,15,135.007418,0.023,135.081073,,Schindler's List,The Waiting List,The Bucket List,The Client List,Listen Up Philip,Listen to Your Heart,Listen to Me Marlon,Listening,The Night Listener,The Poor Little Rich Girl,Little Caesar,Three Little Pigs,Little Miss Marker,The Lost Patrol,The Little Foxes
The Shinig,,0,15,15,97.002469,0.022465,97.073901,,The Shining,The Shipping News,And the Ship Sails On,Last Images of the Shipwreck,The Sting,The Slingshot,The Singing Nun,The Singing Detective,The Single Moms Club,Sex and the Single Girl,The Singer (Quand j'ètais chanteur),The Fox & the Child,The Fox & the Child,The Son of the Sheik,The Siege of the Alcazar
Bravehear,Braveheart,1,14,15,94.39983,0.025003,94.473936,,Braveheart,Home of the Brave,The Brave One,Lonely Are the Brave,Michael the Brave,The Brave,The Brave Little Toaster Goes to Mars,Michael the Brave,Battle of the Brave,Home of the Brave,The Brave One,Home of the Brave,Brave Story,Brave,Brave Miss World
The Sixth Sence,,0,15,15,116.608424,0.01686,116.689582,,The Sixth Sense,The Inn of the Sixth Happiness,The Sixties,The Six Million Dollar Man,The Silence of the Lambs,The Silences of the Palace,The Silences of the Palace,The Silence,The Silencers,The Silence,The Silence,The Sitter,The Sisterhood of the Traveling Pants,Star Wars: Episode III - Revenge of the Sith,The Sisterhood of the Traveling Pants 2
The Usul Suspect,,0,15,15,110.327053,0.019097,110.40222,,The Suspect,The Suspect,The Suspect,The Usual Suspects,Suspect,Prime Suspect: The Lost Child,Suspect X,Prime Suspect 6: The Last Witness,Prime Suspect 7: The Final Act,Prime Suspect,Prime Suspect 2,Prime Suspect 3,Prime Suspect: Inner Circles,Prime Suspect 5: Errors of Judgement,The Suspended Step of the Stork
The Godfathe Part II,,0,15,15,239.698526,0.022915,239.790372,,The Godfather: Part II,The Godfather: Part III,The Hangover Part II,The Toxic Avenger Part II,"The Karate Kid, Part II",The Last Exorcism Part II,Hostel: Part II,Gasland Part II,"That's Entertainment, Part II",Back to the Future Part II,Father of the Bride Part II,Rambo: First Blood Part II,The Gods Must Be Crazy II,The Godfather,The Hangover Part III
Saving Private Ry,Saving Private Ryan,1,14,15,94.205635,0.024239,94.27893,,Saving Private Ryan,Saving Grace,Saving Face,Saving God,Saving Face,Saving Christmas,Saving Sarah Cain,Saving Mr. Banks,Private,Private Romeo,Private Benjamin,Private Confessions,Private Parts,Private Lessons,Private Eye
Back t th Futur,,0,15,15,113.488435,0.023997,113.576521,,T-Rex: Back to the Cretaceous,(T)ERROR,The Tall T,Dr. T and the Women,Dr. T and the Women,Back to the Future,Back to the Future Part II,Back to the Future Part III,Back to School,Back to Stay,Life Back Then,Fight Back to School,Tremors 3: Back to Perfection,Ginger Snaps Back: The Beginning,Before Flying Back to Earth
The Trumans Show,,0,15,15,91.886778,0.024505,91.958579,,The Truman Show,The T.A.M.I. Show,The Late Show,The Horror Show,The Jimmy Show,The Last Picture Show,The Rocky Horror Picture Show,Quiz Show,Hair Show,There's No Business Like Show Business,Best in Show,Village People Radio Show,Claymation Comedy of Horrors Show,"The Missing Piece: Mona Lisa, Her Thief, the True Story",The Trumpet of the Swan
The Socil Netwrk,,0,15,15,98.644905,0.021309,98.73224,,The Social Network,#chicagoGirl: The Social Network Takes on a Dictator,The Sicilian Clan,The Sicilian Girl,The Return of the Soldier,The Scalphunters,The Soloist,The Soloist,The Scientist,The Soviet Story,Alexander Graham Bell: The Sound and the Silence,The Solid Gold Cadillac,The Cheyenne Social Club,The Science of Sleep,The Sci-Fi Boys
Th Mtrix,,0,15,15,104.684855,0.02628,104.779485,,The Matrix,The Matrix Reloaded,The Matrix Revolutions,The Trials of Oscar Wilde,"Muriel, or The Time of Return",The Trial,The Trial of Joan of Arc,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,The Triple Echo,The Marriage of Maria Braun,From the Life of the Marionettes,The Trip to Bountiful,The Trio,Marie from the Bay of Angels,The Year of Maria
Jurrasic Par,,0,15,15,166.37984,0.011249,166.464468,,Jurassic Park III,Jurassic Park III,Jurassic Park,Parasyte: Part 1,The Lost World: Jurassic Park,Paranoid Park,Pardon Mon Affaire,Paris Is Burning,"Paris, je t'aime",Paranormal Activity 2,Paranormal Activity 3,Paranormal Activity 4,Paris Belongs to Us,"Pardon Mon Affaire, Too!",The Park Is Mine
Titannic,,0,12,12,94.110727,0.009096000002,94.1925,,Raise the Titanic,Titanica,Titanic,Titanic,Titanic Town,The Chambermaid on the Titanic,The Ten Lives of Titanic the Cat,Clash of the Titans,Titan A.E.,Remember the Titans,Clash of the Titans,Wrath of the Titans,,,
The Godfathe,The Godfather,3,12,15,92.302593,0.013144,92.360731,,The Godfather,The Godfather: Part II,The Godfather: Part III,The Goddess,The Goddess,The Godsend,The Goddess,The Goddess of 1967,As the Gods Will,The Food of the Gods,The God of Cookery,The Gods Must Be Crazy,The Gods Must Be Crazy II,Hammer of the Gods,Stargate SG-1: Children of the Gods - Final Cut
Forrest Gump,Forrest Gump,1,14,15,97.297988,0.016372,97.358111,,Forrest Gump,Finding Forrester,Days and Nights in the Forest,Gumshoe,The Emerald Forest,Legend of the Forest,Grumpy Old Men,Once Upon a Forest,Grumpier Old Men,Forest Warrior,Forest Warrior,Gupt: The Hidden Truth,Gummo,The Forest,Gumnaam
Star Wars: A New Hop,,0,15,15,94.818447,0.02117,94.899048,,Star Wars: Episode IV - A New Hope,Star Wars: The Clone Wars,Robot Chicken: Star Wars,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Empire of Dreams: The Story of the 'Star Wars' Trilogy,A Star Is Born,A Star Is Born,A New Leaf,A New Life,A Five Star Life,Waco: A New Revelation
The Shawshank Redemptio,The Shawshank Redemption,2,13,15,90.16493,0.024268,90.237713,,The Shawshank Redemption,The Shawshank Redemption,Redemption: The Stan Tookie Williams Story,The Raid: Redemption,The Redemption of General Butt Naked,In the Shadow of the Moon,The Shaggy Dog,The Shaolin Temple,The Shaggy Dog,The Shadow,The Shaman,The Shape of Things,As the Shadow,In the Shadow,In the Shadow
Pul Fiction,,0,15,15,124.32507,0.021775,124.410661,,Pulp Fiction,Samurai Fiction,Real Fiction,Science Fiction,Stranger Than Fiction,Harry Dean Stanton: Partly Fiction,Pull My Daisy,Pull My Daisy,"Pulp: a Film About Life, Death & Supermarkets",Pulse,Pulse,Pulse,Pulsar,The Perils of Pauline,The Public Enemy
The Lord of the Rngs: The Felloship of the Rin,,0,15,15,143.370142,0.020609,143.437687,,The Lord of the Rings,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,Edges of the Lord,Ringers: Lord of the Fans,At Play in the Fields of the Lord,The Lords of Salem,Lord of the Flies,Something the Lord Made,"Greystoke: The Legend of Tarzan, Lord of the Apes",Phantasm III: Lord of the Dead,Lord of Illusions,Lord of War,Lord of Darkness
The Dark Knigt,,0,15,15,114.743533,0.017316,114.813168,,The Dark Knight,The Dark Knight Rises,The Dark,The Dark,The Dark Angel,The Dark Crystal,The Dark Backward,The Dark Half,The Dark Backward,The Dark Diamond,The Dark Diamond,The Dark Hours,The Dark House,The Dark Horse,After the Dark
Fight Clu,Fight Club,1,14,15,103.351353,0.018097,103.421724,,Fight Club,Street Fight,Girl Fight,Fight Back to School,Why We Fight,Fight for Your Right Revisited,Muhammad Ali's Greatest Fight,Escape Fire: The Fight to Rescue American Healthcare,Ip Man: The Final Fight,Fighter in the Wind,Fighter Pilot: Operation Red Flag,Foo Fighters: Back and Forth,The Fighting Lady,The Fighting Temptations,A Fighting Man
Incepcion,,0,2,2,111.159558,0.01286,111.221111,,Inception,Incendies,,,,,,,,,,,,,
The Lion Kin,The Lion King,4,11,15,99.02588,0.02762,99.101344,,The Lion King,The Lion King 2: Simba's Pride,The Lion King 1 1/2,The Lion King 1 1/2,The Lion in Winter,The Wind and the Lion,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Lion's Mouth Opens,White Lion,Kin-dza-dza!,Next of Kin,Next of Kin,Next of Kin,Ku! Kin-dza-dza,Son of a Lion
