Query,Tab Complete,Regex Matches,Exact and Fuzzy Matches,Total Matches,Combined Search Time (ms),Merging Time (ms),Total Runtime (ms),,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15
Avatr,,0,15,15,118.893397,0.028475,118.982697,,Captain Alatriste: The Spanish Musketeer,Avatar,A Tree Grows in Brooklyn,Apartment for Peggy,Awaara,Strangers on a Train,A Streetcar Named Desire,Phone Call from a Stranger,The Actress,Not as a Stranger,Aparajito,Hèz a sziklèk alatt,The Little Apartment,The Apartment,Atraco a las tres
The Terminatr,,0,15,15,124.246289,0.059025,124.468205,,The Terminator,The Terminal,The Terminal,The Terror Live,The Terrorizers,The Terrorist,Terminator 3: Rise of the Machines,From the Terrace,Prison Terminal: The Last Days of Private Jack Hall,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Terminator 2: Judgment Day,Terminator Salvation,Terminator Genisys,Quarantine 2: Terminal,The More the Merrier
The Silens of the Lamb,,0,15,15,104.398153,0.03726,104.629546,,The Silence of the Lambs,The Wolf and the Lamb,Lamb,The Silences of the Palace,The Silences of the Palace,The Silence of Lorna,Year Zero: The Silent Death of Cambodia,Fantastic 4: Rise of the Silver Surfer,The Silent One,Breaking the Silence: Truth and Lies in the War on Terror,The Silence,The Silencers,The Silence,The Silence,The Silent World
Gladiatorr,,0,4,4,107.68451,0.010363,107.783745,,Gladiator,The Graduate,Graduation,Ghost Graduation,,,,,,,,,,,
The Prestig,The Prestige,1,14,15,99.876564,0.017993,99.959404,,The Prestige,The President,All the President's Men,The President's Last Bang,The Kidnapping of the President,The Hunting of the President,My Date with the President's Daughter,My Date with the President's Daughter,The Prefab People,The Preacher's Wife,The Preacher's Daughter,The Pretty One,The Preacher,The Preacher,The Presence
Interstelar,,0,15,15,104.891646,0.040371,105.057271,,Interstate 60: Episodes of the Road,Interstellar,Intersection,Interrupted Melody,Inherit the Wind,The Inheritance,Investigation of a Citizen Above Suspicion,The Inheritance,Interiors,Interrogation,Born in East L.A.,Innerspace,Intervista,Interdevochka,The Best Intentions
Goodfelas,,0,15,15,103.460017,0.03695,103.681556,,Goodfellas,The Good Earth,In the Good Old Summertime,"Good Evening, Mr. Wallenberg","Good Evening, Mr. Wallenberg",The Good Old Boys,A Good Lawyer's Wife,"Good Night, and Good Luck.",Good Luck Chuck,The Good Life,Good Ol' Boy,The Good Life,My Good Enemy,Good Ol' Freda,The Good Lie
The Green Mil,The Green Mile,1,14,15,164.780732,0.016459,164.888698,,The Green Mile,The Green,The Green Pastures,The Green Years,The Green Berets,The Green Wall,The Green Room,The Green Butchers,The Green Hornet,The Green Prince,The Green Inferno,Where the Green Ants Dream,The Capture of the Green River Killer,The Capture of the Green River Killer,The Scent of Green Papaya
The Departd,,0,15,15,199.312337,0.023349,199.405338,,The Departure,The Departed,The Dependent,The Depraved,The Deposit,"The World, the Flesh and the Devil",The Naked and the Dead,The Desert of the Tartars,The Quick and the Dead,The Living and the Dead,The Roses of the Desert,The House of the Devil,The Famous and the Dead,The Dead and the Living,The Deceased
Schindler's Lits,,0,15,15,150.258468,0.030997,150.362755,,Schindler's List,The Poor Little Rich Girl,Little Caesar,Three Little Pigs,Little Miss Marker,The Little Foxes,Little Women,Father's Little Dividend,The Little World of Don Camillo,"Come Back, Little Sheba",Little Boy Lost,The Little Kidnappers,God's Little Acre,The Little Apartment,David and Lisa
